name	name_ru	card_title	card_title_ru	link	type	type_ru	subtype	subtype_ru	place	place_ru	lat	lon	lang	n_tokens	platform	ignore
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	Daghestanian Russian	Дагестанский русский	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Tlibisho	Тлибишо	42.56102793	46.30162993	Russian	376717	spoco	
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	Daghestanian Russian	Дагестанский русский	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Tukita	Тукита	42.57056	46.37278	Russian	376717	spoco	
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	Daghestanian Russian	Дагестанский русский	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Khiv	Хив	41.75161155	47.92894777	Russian	376717	spoco	
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	Daghestanian Russian	Дагестанский русский	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Cukhta	Цухта	42.34340661	47.32975273	Russian	376717	spoco	
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	Daghestanian Russian	Дагестанский русский	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Chishili	Чишили	42.15255375	47.66966563	Russian	376717	spoco	
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	Daghestanian Russian	Дагестанский русский	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Chuni	Чуни	42.349783	47.30274704	Russian	376717	spoco	
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	Daghestanian Russian	Дагестанский русский	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Shalib	Шалиб	42.09087713	46.91793154	Russian	376717	spoco	
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	Daghestanian Russian	Дагестанский русский	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Shangoda	Шангода	42.24624404	47.00053115	Russian	376717	spoco	
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	Daghestanian Russian	Дагестанский русский	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Yangikent	Янгикент	42.20521859	47.82786862	Russian	376717	spoco	
Corpus of Russian spoken in Mari El	Корпус русской речи республики Марий Эл	Mari Russian	Марийский русский	https://lingconlab.ru/MariRus/	corpus	корпус	bilingual	билингвальный	Staryj Toryal	Старый Торъял	56.96135324	48.78415752	Russian	69109	spoco	
Corpus of Russian spoken in Mari El	Корпус русской речи республики Марий Эл	Mari Russian	Марийский русский	https://lingconlab.ru/MariRus/	corpus	корпус	bilingual	билингвальный	Ushemnur	Ушемнур	56.97633321	48.79855642	Russian	69109	spoco	
Yakut-Russian Code-Switching Corpus	Якутско-русский корпус переключения кода	Yakut Russian	Якутский русский	https://lingconlab.ru/cs_yakut/	corpus	корпус	bilingual	билингвальный	Yakutsk	Якутск	62.09977727	129.7284794	Russian	15139	tsacorpus	
Corpus of Lukh and Teza river basins dialects	Корпус говоров низовья рек Лух и Теза	Lukh and Teza river basins dialects	Говоры низовья рек Лух и Теза	https://lingconlab.ru/lukhteza/	corpus	корпус	dialectal	диалектный	Mugreevo-Nikolskoe	Мугреево-Никольское	56.63162239	42.23476521	Russian	146350	spoco	
Corpus of Lukh and Teza river basins dialects	Корпус говоров низовья рек Лух и Теза	Lukh and Teza river basins dialects	Говоры низовья рек Лух и Теза	https://lingconlab.ru/lukhteza/	corpus	корпус	dialectal	диалектный	Nizhnij Landekh	Нижний Ландех	56.66074865	42.42448388	Russian	146350	spoco	
Corpus of Lukh and Teza river basins dialects	Корпус говоров низовья рек Лух и Теза	Lukh and Teza river basins dialects	Говоры низовья рек Лух и Теза	https://lingconlab.ru/lukhteza/	corpus	корпус	dialectal	диалектный	Preobrazhenskoe	Преображенское	56.64914706	41.83607824	Russian	146350	spoco	
